numero,descripcion,lat_raw,lng_raw,lat,lng,chuva,temperatura,hora,categoria
1,"Praia do Pontal do Peba/Av. Beira Mar, frente à Pousada do Marinho","10°20’42,56”S","036°18’5,51”W",-10.345155555555555,-36.30153055555555,Não,30.1,09:51h,Própria
1.1,"Rio São Francisco/Piaçabuçú – Rua Coronel José Leonel, 68 (PIER)","10°24’29,86”S","036°26’05,65”W",-10.408294444444445,-36.43490277777777,Não,29.9,09:25h,Própria
1.2,Rio São Francisco/Piaçabuçú – Rodovia Dalmo Moreira Santana,"10°23’55,43”S","036°26’46,71”W",-10.398730555555556,-36.44630833333333,Não,28.5,09:16h,Própria
1.3,"Prainha do Rio São Francisco/ Av. Beira Rio,552","Centro - 10°17’52,64”S","036°34’57,86”W",-10.297955555555555,-36.58273888888889,Não,28.8,08:40h,Própria
2,"Praia de Feliz Deserto/Av. Gov. Ronaldo Lessa, Frente à Praça Multieventos","10°17’59,02”S","036°17’26,41”W",-10.299727777777777,-36.29066944444444,Não,30.4,10:02h,Própria
3,Praia de Miai de Baixo/Frente à Rua de Acesso à Praia,"10°13’14,20”S","036°12’57,18”W",-10.220611111111111,-36.21588333333334,Não,29.9,10:11h,Própria
4,Praia de Miai de Cima/Frente a Rua da Praia,"10°12’07,14”S","036°11’21,67”W",-10.201983333333333,-36.18935277777778,Não,31.0,10:20h,Própria
5,"Praia do Pontal de Coruripe/Frente ao Farol do Pontal, Frente ao Bar e Restaurante do Baiano","10°09’29,99”S","036º08’10,92”W",-10.158330555555557,-36.13636666666667,Não,30.8,10:35h,Própria
6,"Praia da Lagoa do Pau/Frente da Barraca Carraspana, Poxim","10°07’44,87”S","036º06’34,12”W",-10.129130555555555,-36.10947777777778,Não,30.8,10:51h,Própria
7,Praia de Duas Barras/± 200m ao Sul da Foz do Rio Jequiá,"10°02’57,36”S","036°01’54,36”W",-10.049266666666666,-36.03176666666666,Não,29.6,11:27h,Própria
7.1,"Prainha da Laguna Jequiá da Praia/Rua Santo Antônio, Centro","10°00’24,21”S","036º01’26,07”W",-10.006725,-36.02390833333333,Não,29.9,11:45h,Própria
8,Praia de Duas Barras/Foz do Rio Jequiá,"10°03’1,21”S","036°01’53,27”W",-10.050336111111111,-36.03146388888889,Não,28.9,11:56h,Própria
9,Praia de Lagoa Azeda/Frente à Rua Antenor Nunes,"09°58’16,01”S","035°58’47,14”W",-9.971113888888889,-35.97976111111111,Não,30.6,11:47h,Própria
10,Praia do Gunga/±200m da Foz da Lagoa do Roteiro,"09°51’40,49”S","035°54’16,96”W",-9.861247222222222,-35.90471111111111,Não,30.8,12:02h,Própria
12,"Praia de Atalaia/ Barra de São Miguel,Rua São Pedro","09°50’39,93”S","035°54’23,79”W",-9.844425000000001,-35.90660833333333,Não,30.6,12:24h,Própria
13,Praia da Barra de São Miguel/ Frente à Rua Edson Frazão,"09°50’19,77”S","035°53’19,90”W",-9.838825,-35.88886111111111,Não,29.8,12:35h,Própria
13.1,"Rio Niquim/ Barra se São Miguel, ±300m da Foz",09°50’38.62”S,35°53’56.36”W,-9.844061111111111,-35.89898888888889,Não,29.7,12:43h,Imprópria
15,"Praia do Francês/ Vila dos Pescadores, Frente à Nareia Beach Bar","09°46’17,97”S","035°50’30,12”W",-9.771658333333335,-35.8417,Não,30.4,13:28h,Própria
16,"Praia do Francês/ Av Verdes Mares, prox. à Rua Massunim","09°46’15,02”S","035°50’24,47”W",-9.770838888888889,-35.84013055555556,Não,30.9,13:35h,Própria
